,Unnamed: 0,id,label,taxid,rank,name
165,508,sp|P39103|COX14_YEAST,0,0,no rank,unclassified
166,7741,sp|Q6N4U4|RL14_RHOPA,0,763,family,Xanthobacteraceae
167,13623,sp|Q46WL3|HIS82_CUPPJ,0,3307,genus,Cupriavidus
168,12788,sp|P33905|TRAR_RHIRD,0,360,species,Agrobacterium tumefaciens
169,11747,sp|O13779|YF2E_SCHPO,0,2,superkingdom,Bacteria
170,11410,sp|A2R6M7|NIT1_ASPNC,0,2,superkingdom,Bacteria
171,3847,sp|P18769|FRZE_MYXXA,0,4897,family,Myxococcaceae
172,10234,sp|A0A140NDS5|YAFV_ECOBD,0,8,species,Escherichia coli
173,9431,sp|P0AB10|PQIC_ECOLI,0,7,genus,Escherichia
174,10743,VFG000098,1,66,species,Vibrio cholerae
175,3480,VFG000847,1,0,no rank,unclassified
176,9162,sp|Q8DUY3|TCMPB_STRMU,0,292,species,Streptococcus mutans
177,8624,sp|Q141E8|PDXY_PARXL,0,29345,species,Paraburkholderia xenovorans
178,1783,sp|P00149|CYCP_RHOPA,0,8217,species,Rhodopseudomonas palustris F
179,5746,sp|Q9KIT1|FLR_MEGG1,0,46565,species,Megalodesulfovibrio gigas
180,4507,sp|P16385|THTR_SACER,0,12781,species,Saccharopolyspora D erythraea
181,2121,sp|H9T8G7|CDII9_BURPE,0,69,genus,Burkholderia
182,11168,sp|P9WF33|XERD_MYCTU,0,35,species,Mycobacterium tuberculosis
183,7483,VFG016644,1,42551,species,Malacoplasma penetrans
184,6503,sp|P63488|GATA_STAAM,0,16,species,Staphylococcus aureus
185,3942,sp|Q9UTI3|ARD1_SCHPO,0,172052,superkingdom,Archaea
186,7539,VFG000268,1,63,genus,Neisseria
187,4537,sp|P9WI45|PPE03_MYCTU,0,35,species,Mycobacterium tuberculosis
188,6423,VFG021821,1,20588,species,Mycobacterium gilvum
189,3964,VFG042536,1,823,species,Salmonella diarizonae
190,5165,VFG002106,1,128,species,Legionella pneumophila
191,9165,sp|P38527|RHO_THEMA,0,9330,species,Thermotoga maritima
192,12322,gi|24115526|ref|NP_710036.1|,1,7,genus,Escherichia
193,7155,sp|P07883|AGAR_STRCO,0,16811,species,Streptomyces sp002910825
194,13567,sp|Q9WYG7|PYRF_THEMA,0,9330,species,Thermotoga maritima
195,3443,VFG044340,1,6,family,Enterobacteriaceae
196,213,VFG050902,1,24,genus,Acinetobacter
197,7461,VFG016620,1,42551,species,Malacoplasma penetrans
198,1015,VFG050114,1,73437,species,Pristimantibacillus sp005222705
199,557,VFG042285,1,15312,species,Aeromonas piscicola
200,10765,VFG002085,1,58,genus,Vibrio
201,2045,VFG011788,1,51,species,Campylobacter D jejuni
202,12278,sp|Q7A5M6|Y1261_STAAN,0,16,species,Staphylococcus aureus
203,5757,VFG043479,1,0,no rank,unclassified
204,3874,VFG042338,1,6,family,Enterobacteriaceae
205,1063,VFG002251,1,1736,species,Bartonella henselae
206,6804,VFG024200,1,833,species,Mycobacterium intracellulare
207,12634,sp|Q5KY26|GLSA_GEOKA,0,2693,species,Geobacillus thermoleovorans
208,5282,sp|P38928|AXL2_YEAST,0,2,superkingdom,Bacteria
209,12550,gi|54294527|ref|YP_126942.1|,1,128,species,Legionella pneumophila
210,4372,sp|P40465|CSM2_YEAST,0,0,no rank,unclassified
211,7187,sp|P0AFY8|SEQA_ECOLI,0,7,genus,Escherichia
212,4184,sp|Q0CBN5|PNGA_ASPTN,0,2,superkingdom,Bacteria
213,9491,VFG040067,1,1000,genus,Rickettsia
214,8610,VFG015268,1,286,species,Pseudomonas E avellanae
215,12109,gi|89256750|ref|YP_514112.1|,1,142,species,Francisella tularensis
216,2039,VFG011776,1,10247,species,Campylobacter D bilis
217,11389,VFG041942,1,200,species,Xanthomonas campestris
218,2995,sp|U2PSH1|CS13A_LEPWF,0,12419,species,Leptotrichia hongkongensis
219,14218,fig|216597.6.peg.4379|SL1344_3934|VBISalEnt88447_4379|,1,6,family,Enterobacteriaceae
220,4744,sp|Q5LS56|ACUI_RUEPO,0,18211,species,Ruegeria B pomeroyi
221,1254,VFG000036,1,94,species,Bordetella pertussis
222,11752,VFG023613,1,298,species,Yersinia enterocolitica
223,9043,VFG020065,1,69053,species,Pseudomonas E mendocina C
224,6067,sp|A8H392|Y1705_SHEPA,0,100775,species,Shewanella pealeana
225,10974,sp|Q7S1X0|GCE_NEUCR,0,2,superkingdom,Bacteria
226,3233,sp|Q9L543|AMIE_BACSP,0,114723,species,Anoxybacillus A tepidamans
227,7807,sp|Q5SKN9|LCFCS_THET8,0,1916,family,Thermaceae
228,1651,sp|P0AFE8|NUOM_ECOLI,0,7,genus,Escherichia
229,13739,sp|P35809|XYNA_SCHCO,0,2,superkingdom,Bacteria
230,9449,sp|P09627|PMA1_SCHPO,0,1,no rank,root
231,9629,VFG000499,1,18,species,Salmonella enterica
232,7632,sp|P53203|PEX31_YEAST,0,0,no rank,unclassified
233,11338,VFG052342,1,107073,species,Shewanella violacea
234,10559,VFG005949,1,292,species,Streptococcus mutans
235,4888,VFG048809,1,10,species,Klebsiella pneumoniae
236,12835,gi|16764228|ref|NP_459843.1|,1,18,species,Salmonella enterica
237,1505,sp|P20099|BISC_ECOLI,0,4,class,Gammaproteobacteria
238,10444,VFG005432,1,28,genus,Streptococcus
239,633,sp|Q883R9|THRH_PSESM,0,50294,species,Pseudomonas E syringae F
240,11565,sp|Q99314|SAS5_YEAST,0,0,no rank,unclassified
241,10694,sp|P54511|LIPM_BACSU,0,122,species,Bacillus subtilis
242,9903,VFG043033,1,18,species,Salmonella enterica
243,10043,VFG042175,1,123756,species,Sinorhizobium fredii A
244,14157,fig|169963.11.peg.2087|lmo2039|VBILisMon69206_2087|,1,55,genus,Listeria
245,13915,sp|Q9KNM4|KGUA_VIBCH,0,66,species,Vibrio cholerae
246,7812,sp|P27711|FIB_SPICI,0,8149,genus,Spiroplasma
247,10452,VFG005490,1,12,class,Bacilli
248,8430,sp|P36632|RAD26_SCHPO,0,0,no rank,unclassified
249,10955,VFG007195,1,145760,species,Vibrio ichthyoenteri
250,2941,VFG013744,1,61845,species,Corynebacterium efficiens
251,10128,VFG004621,1,15,genus,Staphylococcus
252,8928,VFG016127,1,1021,species,Pseudomonas E protegens
253,8322,VFG014323,1,540,species,Pseudomonas E alloputida
254,485,VFG038804,1,366,species,Aeromonas hydrophila
255,8408,sp|P40075|SCS2_YEAST,0,2918,species,Arctic96AD-7 sp002685535
256,5307,VFG041290,1,128,species,Legionella pneumophila
257,13193,sp|Q03180|PIR3_YEAST,0,0,no rank,unclassified
258,3025,sp|Q00002|PDI_ALTAL,0,2,superkingdom,Bacteria
259,2254,VFG002152,1,536,species,Chlamydia trachomatis
260,8458,sp|P33749|MSN4_YEAST,0,2,superkingdom,Bacteria
261,8725,sp|Q46871|YQJH_ECOLI,0,8,species,Escherichia coli
262,2633,sp|A0QSD7|RS3_MYCS2,0,1462,species,Mycobacterium smegmatis
263,7087,sp|P40570|VLD1_YEAST,0,0,no rank,unclassified
264,6716,sp|O59675|RS9B_SCHPO,0,2185,species,Paraclostridium dentum
265,10719,sp|P0DSE4|ARGL_ECOLI,0,0,no rank,unclassified
266,10085,VFG001301,1,16,species,Staphylococcus aureus
267,11952,sp|P43571|BST1_YEAST,0,0,no rank,unclassified
268,1111,sp|P32830|TIM12_YEAST,0,0,no rank,unclassified
269,8055,sp|P0A0D6|PTLA_STAAU,0,16,species,Staphylococcus aureus
270,10183,sp|A0QU63|SSRP_MYCS2,0,11104,species,Mycobacterium goodii
271,13353,sp|A0A7L9EZZ4|XENG_XENSI,0,2918,species,Arctic96AD-7 sp002685535
272,2798,sp|P0AFM4|PSIF_ECOLI,0,7,genus,Escherichia
273,512,VFG038863,1,639,species,Aeromonas salmonicida
274,6364,VFG010391,1,130564,species,Mycobacterium sp001667145
275,10105,VFG004513,1,15,genus,Staphylococcus
276,4432,VFG013190,1,1528,species,Histophilus somni
277,3545,sp|O13298|PHD1_SCHPO,0,2,superkingdom,Bacteria
278,6968,VFG029160,1,35,species,Mycobacterium tuberculosis
279,1248,VFG000030,1,94,species,Bordetella pertussis
280,1253,VFG000035,1,94,species,Bordetella pertussis
281,13734,sp|A0A0H2ZF87|TRMJ_PSEAB,0,22,species,Pseudomonas aeruginosa
282,2754,VFG012090,1,1679,species,Clostridium G tetani
283,11546,VFG002334,1,298,species,Yersinia enterocolitica
284,5724,VFG043275,1,56,species,Listeria monocytogenes
285,7599,sp|O56861|ENV_FFV,0,0,no rank,unclassified
286,2745,VFG002289,1,9967,species,Clostridium J argentinense
287,10817,VFG006944,1,58,genus,Vibrio
288,12630,sp|P43557|FMP32_YEAST,0,140004,species,Rhizobium sp016429015
289,467,VFG038751,1,209,genus,Aeromonas
290,6853,VFG024746,1,34,genus,Mycobacterium
291,9648,sp|P38969|PNT1_YEAST,0,0,no rank,unclassified
292,12518,sp|Q5SHN8|RL3_THET8,0,1917,genus,Thermus
293,210,VFG050883,1,24,genus,Acinetobacter
294,8912,VFG016086,1,8535,species,Pseudomonas E hydrolytica
295,2996,sp|P09061|ODBB_PSEPU,0,76,genus,Pseudomonas E
296,12624,sp|P9WIL9|PAFC_MYCTU,0,35,species,Mycobacterium tuberculosis
297,6152,sp|Q55804|CRHR_SYNY3,0,5353,species,Synechocystis sp000284455
298,5441,VFG045488,1,2037,species,Legionella fraseri
299,8806,sp|Q85429|GLYC_RSVT,0,0,no rank,unclassified
300,1812,VFG041146,1,69,genus,Burkholderia
301,8298,sp|Q08003|RFU1_YEAST,0,0,no rank,unclassified
302,7756,VFG040918,1,876,genus,Pectobacterium
303,6340,VFG010343,1,20588,species,Mycobacterium gilvum
304,9160,VFG044097,1,22,species,Pseudomonas aeruginosa
305,11292,sp|P60668|NANE_SALTI,0,18,species,Salmonella enterica
306,10593,VFG006004,1,26,order,Lactobacillales
307,2998,VFG039121,1,699,species,Coxiella burnetii
308,5015,VFG049061,1,9,genus,Klebsiella
309,3025,VFG039251,1,699,species,Coxiella burnetii
310,5623,sp|P26525|NDHI_SYNY3,0,5353,species,Synechocystis sp000284455
311,1809,sp|P02986|IMMC_ECOLX,0,430,species,Citrobacter B koseri
312,4519,VFG013384,1,232,genus,Haemophilus
313,2299,sp|P46828|CCPA_PRIMG,0,523,genus,Priestia
314,170,sp|Q6N253|RL36_RHOPA,0,7556,genus,Rhodopseudomonas
315,8449,VFG014742,1,1021,species,Pseudomonas E protegens
316,9813,VFG020322,1,2715,species,Salmonella bongori
317,5239,sp|G0S8F1|NOG1_CHATD,0,169129,species,Gluconobacter aidae
318,2170,sp|P0CX55|RS18A_YEAST,0,38199,species,Paracoccus marinus
319,7341,VFG052246,1,33,family,Mycobacteriaceae
320,12725,gi|147674563|ref|YP_001216456.1|,1,66,species,Vibrio cholerae
321,11253,VFG043156,1,57,family,Vibrionaceae
322,7633,VFG036483,1,2396,species,Neisseria polysaccharea
323,9051,sp|A0A0H3C8X7|CERR_CAUVN,0,12913,species,Caulobacter vibrioides
324,13843,gi|229558446|gb|ACQ76875.1|,1,2511,genus,Methylobacterium
325,2177,sp|Q8NQU4|ARGV_CORGL,0,1252,species,Corynebacterium glutamicum
326,11602,sp|P12293|DHM1_PARDE,0,3,phylum,Pseudomonadota
327,1550,sp|Q9UTE3|SEB1_SCHPO,0,0,no rank,unclassified
328,1068,VFG002256,1,1736,species,Bartonella henselae
329,5025,sp|P0ABE2|BOLA_ECOLI,0,7,genus,Escherichia
330,12736,sp|Q2T083|DCD_BURTA,0,69,genus,Burkholderia
331,4842,VFG048330,1,163,species,Klebsiella michiganensis
332,3979,VFG042551,1,1156,genus,Citrobacter A
333,11248,VFG043151,1,59,species,Vibrio parahaemolyticus
334,13759,sp|A0A4P8GEB4|EUPD_PHOSX,0,1,no rank,root
335,3641,VFG034648,1,59654,species,Escherichia coli E
336,8613,sp|P47187|COS5_YEAST,0,94615,species,Thermoanaerobacterium sp029960905
337,13862,sp|P0AE34|ARTQ_ECOLI,0,2192,species,Escherichia sp005843885
338,10558,sp|Q05156|GUN1_STRRE,0,31,class,Actinomycetes
339,3728,sp|P0AFA2|NARX_ECOLI,0,6,family,Enterobacteriaceae
340,11988,sp|P13663|DHAS_YEAST,0,2722,order,Balneolales
341,5010,VFG049046,1,109,species,Klebsiella variicola
342,706,sp|O74889|SAC31_SCHPO,0,0,no rank,unclassified
343,8846,sp|P9WLZ5|Y1366_MYCTU,0,35,species,Mycobacterium tuberculosis
344,9375,sp|P38865|CTR2_YEAST,0,0,no rank,unclassified
345,735,sp|Q07838|AMDA_MYCSM,0,1462,species,Mycobacterium smegmatis
346,11627,sp|Q2UHL4|PGLR1_ASPOR,0,47162,species,Nocardioides cremeus
347,9695,sp|P76402|YEGP_ECOLI,0,7,genus,Escherichia
348,10963,VFG007210,1,510,species,Vibrio vulnificus B
349,4597,VFG042658,1,1282,species,Haemophilus influenzae I
350,7721,VFG042243,1,1789,species,Pantoea stewartii
351,8915,VFG016092,1,1021,species,Pseudomonas E protegens
352,5511,sp|P07234|CAPSD_BPGA,0,0,no rank,unclassified
353,5976,sp|Q8DLJ8|PSB28_THEVB,0,57506,species,Thermosynechococcus vestitus
354,6916,sp|P47044|YJF5_YEAST,0,2,superkingdom,Bacteria
355,9118,VFG042744,1,22,species,Pseudomonas aeruginosa
356,1642,sp|Q5A900|RS2_CANAL,0,2,superkingdom,Bacteria
357,7145,sp|E3FKM2|EEVS_STIAD,0,62390,species,Stigmatella aurantiaca A
358,11427,VFG040987,1,456,species,Xylella fastidiosa
359,8446,VFG014733,1,22,species,Pseudomonas aeruginosa
360,2473,VFG051316,1,535,genus,Chlamydia
361,4220,VFG046725,1,142,species,Francisella tularensis
362,4478,sp|P27296|DING_ECOLI,0,6,family,Enterobacteriaceae
363,1547,sp|P9WKW5|Y3835_MYCTU,0,35,species,Mycobacterium tuberculosis
364,7790,VFG041642,1,23873,species,Photorhabdus asymbiotica
365,62,VFG037881,1,24,genus,Acinetobacter
366,760,VFG016364,1,89,genus,Bacillus A
367,14296,sp|P77174|YBDM_ECOLI,0,8,species,Escherichia coli
368,10695,sp|Q0S7P8|ECH20_RHOJR,0,17119,species,Rhodococcus F jostii A
369,9865,VFG041159,1,6,family,Enterobacteriaceae
370,13775,gi|267995764|gb|ACY90649.1|,1,18,species,Salmonella enterica
371,5889,sp|P0A1V8|BLO2_SALTM,0,2,superkingdom,Bacteria
372,8377,VFG014483,1,76,genus,Pseudomonas E
373,927,VFG043945,1,89,genus,Bacillus A
374,13879,gi|9629293|ref|NP_044493.1|,1,127196,species,Corallococcus aberystwythensis
375,2851,VFG043775,1,447,genus,Clostridium
376,5025,VFG049116,1,9,genus,Klebsiella
377,1175,sp|A7XUK7|AGGL_SCLSC,0,0,no rank,unclassified
378,8884,VFG016012,1,2422,species,Pseudomonas E putida Y
379,11438,VFG042937,1,456,species,Xylella fastidiosa
380,10976,VFG007238,1,66,species,Vibrio cholerae
381,12622,sp|Q9KR65|SIAQ_VIBCH,0,66,species,Vibrio cholerae
382,12168,sp|P81449|ATPJ_YEAST,0,0,no rank,unclassified
383,7908,VFG000116,1,22,species,Pseudomonas aeruginosa
384,4046,sp|Q50310|RL29_MYCPN,0,363,species,Mycoplasmoides pneumoniae
385,12937,gi|28373190|ref|NP_783761.1|,1,144,family,Clostridiaceae
386,6153,sp|Q2EES9|TORI_ECOLI,0,7,genus,Escherichia
387,7089,sp|Q52EB3|ATG1_PYRO7,0,0,no rank,unclassified
388,13636,gi|68484757|ref|XP_713690.1|,1,0,no rank,unclassified
389,8082,VFG013781,1,220,genus,Stutzerimonas
390,6001,VFG008618,1,941,species,Mycobacterium marinum
391,3907,sp|P19887|T2BA_ANEAE,0,7952,species,Aneurinibacillus aneurinilyticus
392,2524,VFG051396,1,1049,genus,Chlamydophila
393,2135,sp|Q47706|UIDC_ECOLI,0,47163,species,Escherichia sp004211955
394,10317,sp|P60337|BETA_STAAN,0,15,genus,Staphylococcus
395,7273,sp|Q5B0C9|APTB_EMENI,0,2,superkingdom,Bacteria
396,14403,fig|83332.12.peg.569|Rv0513|VBIMycTub87468_0569|,1,35,species,Mycobacterium tuberculosis
397,11747,VFG023607,1,27384,species,Yersinia artesiana
398,13070,gi|15900079|ref|NP_344683.1|,1,28,genus,Streptococcus
