Unnamed: 0,id,label,target_id,pred_label,fident,bitscore,evalue,score
35,VFG015198,1,VFG015199,1.0,0.776,146.0,1.5660000000000003e-36,0.021295215869311553
36,VFG012000,1,VFG012001,1.0,0.82,468.0,3.756e-134,0.06826137689614936
37,VFG002031,1,VFG016445,1.0,0.585,336.0,2.45e-92,0.049008168028004666
38,sp|B3PEE6|OL4AG_CELJU,0,P96793,0.0,0.764,1718.0,0.0,0.25058343057176197
39,VFG015320,1,VFG015322,1.0,0.746,953.0,1.2429999999999999e-278,0.13900233372228704
40,sp|P00962|SYQ_ECOLI,0,Q9I2U8,0.0,0.865,1531.0,0.0,0.2233080513418903
41,VFG042718,1,YP_859951.1,1.0,0.813,827.0,4.678e-243,0.1206242707117853
42,VFG024803,1,VFG024808,1.0,0.906,1359.0,0.0,0.19822053675612603
43,sp|Q6A6N7|RL24_CUTAK,0,Q8Y443,0.0,0.763,209.0,6.671e-55,0.03048424737456243
44,VFG046622,1,VFG046621,1.0,0.876,1419.0,0.0,0.20697199533255542
45,VFG041106,1,VFG041199,1.0,0.812,997.0,3.038e-292,0.14542007001166862
46,VFG013234,1,VFG042814,1.0,0.653,315.0,1.479e-86,0.045945157526254374
47,VFG042546,1,VFG042719,1.0,0.781,451.0,3.869e-129,0.06578179696616103
48,sp|O74942|CYP9_SCHPO,0,P18851,0.0,0.783,924.0,1.8909999999999998e-269,0.13477246207701282
49,sp|P87236|MU154_SCHPO,0,Q12066,0.0,0.51,175.0,4.618999999999999e-44,0.025525087514585765
50,VFG042054,1,VFG042021,1.0,0.83,1565.0,0.0,0.22826721120186697
51,VFG007436,1,VFG007438,1.0,0.94,527.0,5.229e-155,0.07686697782963828
52,sp|P53048|MAL11_YEAST,0,P0CE00,0.0,0.817,1598.0,0.0,0.23308051341890315
53,VFG037949,1,VFG038060,1.0,0.8,960.0,1.61e-284,0.14002333722287047
54,sp|Q06583|PYS1_PSEAI,0,VFG036073,1.0,0.629,392.0,6.241000000000001e-109,0.057176196032672114
55,VFG018009,1,VFG047089,1.0,0.961,1366.0,0.0,0.19924154025670945
56,VFG030400,1,Q5P603,0.0,0.962,1871.0,0.0,0.27289964994165694
57,gi|16802309|ref|NP_463794.1|,1,VFG000075,1.0,0.916,1382.0,0.0,0.2015752625437573
58,VFG004280,1,VFG042586,1.0,0.824,677.0,5.714e-198,0.09874562427071179
59,sp|P35183|AST1_YEAST,0,O74489,0.0,0.694,786.0,4.257e-228,0.11464410735122521
60,sp|Q8YQ14|IACT_NOSS1,0,VFG044394,1.0,0.783,1827.0,0.0,0.26648191365227536
61,gi|17986474|ref|NP_539108.1|,1,P37177,0.0,0.856,2135.0,0.0,0.3114060676779463
62,sp|P23660|GUNA_RUMAL,0,P28623,0.0,0.954,1163.0,0.0,0.16963243873978998
63,sp|P74207|LEUD_SYNY3,0,fig|262316.17.peg.3205|MAP3025c|VBIMycAvi108102_3205|,1.0,0.813,526.0,9.898e-152,0.07672112018669779
64,VFG013194,1,VFG013580,1.0,0.62,916.0,4.821e-267,0.13360560093348892
65,sp|P57079|RS21_MYCPN,0,P07702,0.0,0.775,87.0,2.456e-18,0.012689614935822636
66,VFG038015,1,VFG019786,1.0,0.849,1165.0,0.0,0.16992415402567093
67,VFG000101,1,VFG036086,1.0,0.805,688.0,6.321e-200,0.10035005834305717
68,sp|P30572|CHS2_CANAX,0,P08004,0.0,0.791,2008.0,0.0,0.2928821470245041
69,sp|P0DSH0|YRIB_ECOLI,0,,0.0,,0.0,,0.0
70,VFG016263,1,VFG016266,1.0,0.626,638.0,1.386e-183,0.09305717619603267
71,VFG015277,1,Q0TUK6,0.0,0.653,93.0,9.104000000000001e-20,0.013564760793465578
72,gi|68472223|ref|XP_719907.1|,1,P47190,0.0,0.838,2052.0,0.0,0.29929988331388563
73,VFG046873,1,VFG046864,1.0,0.71,973.0,8.823e-285,0.14191948658109685
74,VFG043062,1,VFG043113,1.0,0.903,455.0,7.807e-132,0.06636522753792298
75,sp|Q3S2Y1|GTFB_STRAG,0,A1C3M0,0.0,0.89,1408.0,0.0,0.20536756126021002
76,VFG001940,1,VFG011779,1.0,0.774,758.0,4.22e-221,0.11056009334889148
77,sp|Q9RXJ0|RL5_DEIRA,0,P08895,0.0,0.942,567.0,3.259e-167,0.08270128354725788
78,sp|O34674|MURJ_BACSU,0,NP_345978.1,1.0,0.735,1255.0,0.0,0.18305134189031505
79,VFG051440,1,VFG051437,1.0,0.776,2461.0,0.0,0.3589556592765461
80,gi|33592924|ref|NP_880568.1|,1,P75995,0.0,0.814,716.0,2.7720000000000003e-208,0.1044340723453909
81,sp|P10908|UGPQ_ECOLI,0,Q8RB32,0.0,0.92,843.0,1.053e-254,0.12295799299883314
82,sp|P9WPX9|AROB_MYCTU,0,YP_109761.1,1.0,0.833,1003.0,6.181999999999999e-297,0.14629521586931155
83,VFG011344,1,VFG011341,1.0,0.807,479.0,8.479999999999999e-137,0.06986581096849474
84,VFG019741,1,VFG013876,1.0,0.785,756.0,5.901e-220,0.1102683780630105
85,VFG002448,1,VFG016802,1.0,0.663,147.0,2.165e-36,0.02144107351225204
86,VFG008322,1,VFG002384,1.0,0.865,252.0,3.102e-69,0.0367561260210035
87,VFG016320,1,VFG032334,1.0,0.647,561.0,1.599e-160,0.08182613768961494
88,sp|Q56815|ALF_XANFL,0,YP_001598513.1,1.0,0.929,1173.0,0.0,0.17109101516919487
89,gi|15646095|ref|NP_208277.1|,1,P0AGH1,0.0,0.657,719.0,2.6670000000000003e-208,0.10487164527421237
90,gi|15607555|ref|NP_214928.1|,1,P39594,0.0,0.921,742.0,7.967e-223,0.10822637106184364
91,VFG017488,1,VFG027926,1.0,0.92,2627.0,0.0,0.3831680280046674
92,sp|A0QSB9|MFTD_MYCS2,0,P33232,0.0,0.864,1114.0,0.0,0.16248541423570595
93,gi|116054099|ref|YP_788542.1|,1,VFG007595,1.0,0.7,105.0,1.4339999999999998e-23,0.015315052508751459
94,VFG007292,1,VFG007297,1.0,0.899,1103.0,0.0,0.16088098016336055
95,sp|P38079|YRO2_YEAST,0,Q12117,0.0,0.873,934.0,2.1990000000000002e-275,0.13623103850641774
96,sp|P39270|YJDF_ECOLI,0,VFG022137,1.0,0.487,132.0,3.8840000000000004e-31,0.019253208868144692
97,sp|P32099|LPLA_ECOLI,0,A0A0H3JR16,0.0,0.781,800.0,2.0979999999999997e-233,0.11668611435239207
98,fig|83332.12.peg.2165|Rv1937|VBIMycTub87468_2165|,1,Q51603,0.0,0.894,1101.0,0.0,0.16058926487747957
99,VFG022237,1,VFG024587,1.0,0.766,1103.0,0.0,0.16088098016336055
100,sp|O25711|ATGTP_HELPY,0,NP_462652.1,1.0,0.509,345.0,4.989e-95,0.05032088681446908
101,sp|Q794W0|YYCH_BACSU,0,VFG043102,1.0,0.679,142.0,5.665e-34,0.020711785297549593
102,sp|Q2SWM4|KTHY_BURTA,0,P0A720,0.0,0.895,661.0,9.418e-197,0.09641190198366395
103,sp|Q8GBW6|12S_PROFR,0,O54028,0.0,0.888,1602.0,0.0,0.23366394399066512
104,sp|A7ZI10|ZORA_ECO24,0,VFG051241,1.0,0.741,1085.0,0.0,0.15825554259043173
105,VFG050187,1,VFG016386,1.0,0.909,701.0,4.201e-210,0.10224620770128355
106,VFG043072,1,VFG043019,1.0,0.935,388.0,4.826e-111,0.056592765460910154
107,sp|Q2KBP7|BIOY_RHIEC,0,Q8DV98,0.0,0.612,301.0,1.314e-82,0.04390315052508752
108,VFG044292,1,VFG044138,1.0,0.858,969.0,1.372e-286,0.14133605600933488
109,VFG015070,1,VFG015076,1.0,0.942,3062.0,0.0,0.4466161026837806
110,sp|P40037|HMF1_YEAST,0,P0AGL2,0.0,0.86,390.0,1.891e-112,0.05688448074679113
111,VFG051388,1,VFG051380,1.0,0.82,2641.0,0.0,0.3852100350058343
112,sp|O25581|Y924_HELPY,0,P49172,0.0,0.907,212.0,1.756e-58,0.030921820303383897
113,VFG043693,1,A0A2I2F262,0.0,0.829,4242.0,0.0,0.6187281213535589
114,VFG043623,1,VFG042692,1.0,0.926,666.0,1.492e-197,0.0971411901983664
115,VFG030047,1,VFG030041,1.0,0.872,673.0,2.577e-199,0.09816219369894982
116,sp|Q00618|PGTA_YEAST,0,P29703,0.0,0.75,673.0,1.9270000000000002e-194,0.09816219369894982
117,VFG027835,1,VFG010425,1.0,0.818,1266.0,0.0,0.18465577596266045
118,VFG041798,1,VFG002125,1.0,0.617,407.0,9.514e-114,0.05936406067677946
119,VFG035419,1,VFG049217,1.0,0.773,427.0,1.047e-120,0.06228121353558926
120,VFG042986,1,VFG042977,1.0,0.664,251.0,5.747e-67,0.03661026837806301
121,VFG013117,1,VFG013112,1.0,0.714,523.0,6.962e-150,0.07628354725787631
122,VFG042046,1,Q9UUJ4,0.0,0.575,236.0,2.421e-62,0.03442240373395566
123,sp|P08813|FER1_DESVM,0,Q56316,0.0,0.854,197.0,4.233e-54,0.028733955659276545
124,sp|P23673|CTFB_CLOAB,0,P76459,0.0,0.826,637.0,8.844999999999999e-187,0.09291131855309218
125,sp|Q2G1C1|TARF_STAA8,0,P27621,0.0,0.695,801.0,4.081e-233,0.11683197199533256
126,VFG042946,1,VFG038467,1.0,0.926,1219.0,0.0,0.1778004667444574
127,VFG042254,1,VFG041488,1.0,0.656,423.0,1.1e-118,0.0616977829638273
128,sp|Q92R43|AQPS_RHIME,0,P60844,0.0,0.716,539.0,7.746000000000001e-155,0.07861726954492415
129,gi|16767679|ref|NP_463294.1|,1,B1G894,0.0,0.815,968.0,6.453e-287,0.1411901983663944
130,sp|P87128|EIF3J_SCHPO,0,Q05775,0.0,0.615,264.0,6.224000000000001e-71,0.038506417736289385
131,VFG007176,1,VFG043367,1.0,0.629,392.0,1.654e-109,0.057176196032672114
132,VFG045341,1,P10862,0.0,0.586,76.0,8.841e-15,0.011085180863477246
133,sp|P29929|COBN_SINSX,0,VFG044131,1.0,0.606,1979.0,0.0,0.2886522753792299
134,VFG042948,1,VFG038478,1.0,0.763,290.0,2.4510000000000002e-79,0.04229871645274212
135,VFG038336,1,VFG042277,1.0,0.76,612.0,2.904e-176,0.08926487747957992
136,sp|C8V329|FCY2_EMENI,0,P17064,0.0,0.752,1148.0,0.0,0.1674445740956826
137,VFG008093,1,VFG008109,1.0,0.934,1031.0,9.791e-311,0.1503792298716453
138,VFG006905,1,VFG006907,1.0,0.93,1849.0,0.0,0.26969078179696615
139,VFG016254,1,VFG016274,1.0,0.732,732.0,1.049e-211,0.10676779463243874
140,gi|126209031|ref|YP_001054256.1|,1,VFG013193,1.0,0.745,2198.0,0.0,0.3205950991831972
141,sp|Q8RJB2|BZRD_BACCE,0,A0A2H3D8Y2,0.0,0.882,851.0,4.0579999999999995e-257,0.12412485414235706
142,gi|15840045|ref|NP_335082.1|,1,VFG022385,1.0,0.931,994.0,5.3779999999999995e-298,0.14498249708284713
143,VFG005362,1,VFG018653,1.0,0.746,3423.0,0.0,0.4992707117852975
144,VFG038299,1,VFG007069,1.0,0.883,617.0,1.408e-178,0.08999416569428238
145,sp|Q9XDN3|PDUN_SALTY,0,P0AEJ8,0.0,0.785,213.0,7.132e-57,0.03106767794632439
146,sp|Q874I4|PYRD_CANAL,0,NP_697345.1,1.0,0.832,1047.0,2.291e-307,0.15271295215869313
147,VFG042023,1,VFG015287,1.0,0.61,515.0,2.073e-146,0.07511668611435239
148,VFG041931,1,VFG042222,1.0,0.608,357.0,8.983e-99,0.05207117852975496
149,sp|P0DW70|DTCC_VIBAL,0,Q47UY5,0.0,0.756,618.0,1.101e-177,0.09014002333722287
150,sp|Q4FQF7|HIS1_PSYA2,0,Q02129,0.0,0.904,706.0,3.876e-209,0.102975495915986
151,VFG038599,1,VFG006947,1.0,0.843,1437.0,0.0,0.20959743290548424
152,sp|A0A2T5Y4G4|CAP12_SPHFK,0,P0DUD9,0.0,0.65,506.0,6.088000000000001e-144,0.07380396732788798
153,VFG042315,1,VFG042324,1.0,0.883,1775.0,0.0,0.2588973162193699
154,sp|A6M2W4|IMAND_CLOB8,0,D7BPX0,0.0,0.953,1415.0,0.0,0.20638856476079345
155,gi|401427037|ref|XP_003878002.1|,1,VFG013538,1.0,0.644,646.0,8.463e-186,0.09422403733955659
156,sp|A0R211|WECA_MYCS2,0,VFG005841,1.0,0.71,811.0,5.713e-236,0.11829054842473746
157,VFG040967,1,VFG040939,1.0,0.852,837.0,3.419e-245,0.12208284714119019
158,VFG029995,1,VFG030037,1.0,0.833,991.0,8.378e-292,0.14454492415402567
159,VFG014271,1,VFG015663,1.0,0.843,1823.0,0.0,0.2658984830805134
160,sp|P9WNW1|DNAG_MYCTU,0,O05338,0.0,0.787,1435.0,0.0,0.20930571761960326
161,sp|P81340|CYSK_CLOPA,0,,0.0,,0.0,,0.0
162,VFG000537,1,VFG000531,1.0,0.843,744.0,1.413e-216,0.10851808634772463
163,VFG026255,1,VFG026246,1.0,0.931,1137.0,0.0,0.16584014002333722
164,fig|216594.6.peg.2436|MMAR_2284|VBIMycMar75906_2436|,1,VFG050290,1.0,0.576,646.0,6.847e-186,0.09422403733955659
165,sp|P39103|COX14_YEAST,0,VFG044212,1.0,0.684,102.0,4.583e-23,0.014877479579929988
166,sp|Q6N4U4|RL14_RHOPA,0,O83229,0.0,0.966,412.0,3.4100000000000003e-121,0.060093348891481914
167,sp|Q46WL3|HIS82_CUPPJ,0,VFG001965,1.0,0.909,1286.0,0.0,0.18757292882147025
168,sp|P33905|TRAR_RHIRD,0,P55407,0.0,0.782,560.0,3.354e-161,0.08168028004667445
169,sp|O13779|YF2E_SCHPO,0,Q08269,0.0,0.735,808.0,1.7870000000000002e-234,0.11785297549591599
170,sp|A2R6M7|NIT1_ASPNC,0,G9N4E3,0.0,0.889,1020.0,1.115e-304,0.1487747957992999
171,sp|P18769|FRZE_MYXXA,0,VFG043394,1.0,0.789,1906.0,0.0,0.2780046674445741
172,sp|A0A140NDS5|YAFV_ECOBD,0,Q75SP7,0.0,0.837,736.0,6.543e-217,0.1073512252042007
173,sp|P0AB10|PQIC_ECOLI,0,VFG043123,1.0,0.5,165.0,2.7789999999999997e-41,0.024066511085180865
174,VFG000098,1,VFG006872,1.0,0.87,1348.0,0.0,0.19661610268378063
175,VFG000847,1,VFG034591,1.0,0.789,459.0,7.132e-132,0.06694865810968495
176,sp|Q8DUY3|TCMPB_STRMU,0,I6YET7,0.0,0.573,456.0,5.635e-129,0.06651108518086347
177,sp|Q141E8|PDXY_PARXL,0,Q9HT57,0.0,0.936,1008.0,1.1940000000000001e-306,0.147024504084014
178,sp|P00149|CYCP_RHOPA,0,Q45234,0.0,0.875,386.0,1.367e-109,0.05630105017502917
179,sp|Q9KIT1|FLR_MEGG1,0,M4YFG7,0.0,0.886,408.0,6.633e-115,0.059509918319719954
180,sp|P16385|THTR_SACER,0,Q72JV2,0.0,0.89,882.0,1.282e-263,0.12864644107351225
181,sp|H9T8G7|CDII9_BURPE,0,VFG035354,1.0,0.589,115.0,1.9530000000000002e-26,0.01677362893815636
182,sp|P9WF33|XERD_MYCTU,0,P9WF35,0.0,0.872,847.0,2.7649999999999995e-249,0.1235414235705951
183,VFG016644,1,VFG016631,1.0,0.557,432.0,4.239e-121,0.06301050175029171
184,sp|P63488|GATA_STAAM,0,O06491,0.0,0.925,1648.0,0.0,0.24037339556592766
185,sp|Q9UTI3|ARD1_SCHPO,0,Q03503,0.0,0.916,521.0,5.515e-152,0.07599183197199533
186,VFG000268,1,VFG036560,1.0,0.764,1943.0,0.0,0.28340140023337224
187,sp|P9WI45|PPE03_MYCTU,0,VFG022092,1.0,0.611,627.0,5.382e-180,0.09145274212368729
188,VFG021821,1,VFG022767,1.0,0.947,1859.0,0.0,0.27114935822637104
189,VFG042536,1,VFG042618,1.0,0.902,738.0,3.667e-219,0.10764294049008168
190,VFG002106,1,VFG002100,1.0,0.845,880.0,5.212e-257,0.12835472578763127
191,sp|P38527|RHO_THEMA,0,P0AG30,0.0,0.873,1232.0,0.0,0.17969661610268378
192,gi|24115526|ref|NP_710036.1|,1,Q9KAC3,0.0,0.833,854.0,3.8600000000000005e-251,0.12456242707117852
193,sp|P07883|AGAR_STRCO,0,G0L322,0.0,0.785,647.0,1.245e-186,0.09436989498249708
194,sp|Q9WYG7|PYRF_THEMA,0,Q9KQT7,0.0,0.82,630.0,1.41e-186,0.09189031505250875
195,VFG044340,1,VFG044119,1.0,0.818,1533.0,0.0,0.22359976662777128
196,VFG050902,1,VFG050904,1.0,0.859,2922.0,0.0,0.42619603267211204
197,VFG016620,1,VFG016607,1.0,0.683,703.0,1.939e-203,0.10253792298716453
198,VFG050114,1,VFG050115,1.0,0.834,5222.0,0.0,0.7616686114352392
199,VFG042285,1,VFG038327,1.0,0.865,180.0,9.95e-48,0.026254375729288213
200,VFG002085,1,VFG038397,1.0,0.799,1326.0,0.0,0.19340723453908984
201,VFG011788,1,VFG013298,1.0,0.759,648.0,3.789e-187,0.09451575262543757
202,sp|Q7A5M6|Y1261_STAAN,0,Q7A5G0,0.0,0.873,421.0,1.423e-121,0.061406067677946326
203,VFG043479,1,VFG013218,1.0,0.811,1100.0,0.0,0.1604434072345391
204,VFG042338,1,VFG042361,1.0,0.879,624.0,2.2819999999999998e-179,0.09101516919486581
205,VFG002251,1,VFG002256,1.0,0.855,303.0,9.669e-86,0.044194865810968494
206,VFG024200,1,P13800,0.0,0.917,739.0,3.9110000000000005e-222,0.10778879813302217
207,sp|Q5KY26|GLSA_GEOKA,0,O07637,0.0,0.915,990.0,1.3309999999999999e-297,0.1443990665110852
208,sp|P38928|AXL2_YEAST,0,VFG005383,1.0,0.53,413.0,4.176e-115,0.060239206534422406
209,gi|54294527|ref|YP_126942.1|,1,VFG038216,1.0,0.973,827.0,3.475e-252,0.1206242707117853
210,sp|P40465|CSM2_YEAST,0,O42634,0.0,0.595,284.0,3.497e-77,0.041423570595099185
211,sp|P0AFY8|SEQA_ECOLI,0,P18591,0.0,0.573,154.0,4.782999999999999e-38,0.022462077012835473
212,sp|Q0CBN5|PNGA_ASPTN,0,A0A336U965,0.0,0.92,3037.0,0.0,0.44296966161026835
213,VFG040067,1,VFG040035,1.0,0.775,1951.0,0.0,0.28456826137689617
214,VFG015268,1,VFG000539,1.0,0.647,231.0,7.546e-61,0.033693115519253206
215,gi|89256750|ref|YP_514112.1|,1,Q5DYV8,0.0,0.955,836.0,4.903e-253,0.12193698949824971
216,VFG011776,1,VFG011800,1.0,0.712,616.0,1.702e-177,0.08984830805134189
217,VFG041942,1,VFG041994,1.0,0.828,586.0,2.5759999999999997e-169,0.0854725787631272
218,sp|U2PSH1|CS13A_LEPWF,0,VFG016450,1.0,0.515,627.0,1.767e-179,0.09145274212368729
219,fig|216597.6.peg.4379|SL1344_3934|VBISalEnt88447_4379|,1,fig|216597.6.peg.3536|SL1344_3165|VBISalEnt88447_3536|,1.0,0.751,1336.0,0.0,0.19486581096849476
220,sp|Q5LS56|ACUI_RUEPO,0,Q3J6K9,0.0,0.917,1141.0,0.0,0.16642357059509919
221,VFG000036,1,Q9ZGH4,0.0,0.969,1395.0,0.0,0.20347141190198367
222,VFG023613,1,VFG003563,1.0,0.852,362.0,5.305e-102,0.05280046674445741
223,VFG020065,1,VFG016024,1.0,0.922,1820.0,0.0,0.26546091015169193
224,sp|A8H392|Y1705_SHEPA,0,Q81PH1,0.0,0.889,1060.0,3.988e-317,0.15460910151691948
225,sp|Q7S1X0|GCE_NEUCR,0,G2QJR6,0.0,0.86,1108.0,0.0,0.161610268378063
226,sp|Q9L543|AMIE_BACSP,0,O25067,0.0,0.915,1067.0,3.544e-319,0.1556301050175029
227,sp|Q5SKN9|LCFCS_THET8,0,Q00594,0.0,0.925,1830.0,0.0,0.2669194865810969
228,sp|P0AFE8|NUOM_ECOLI,0,P60686,0.0,0.702,1087.0,0.0,0.1585472578763127
229,sp|P35809|XYNA_SCHCO,0,A6YAP7,0.0,0.88,595.0,4.1159999999999996e-175,0.08678529754959159
230,sp|P09627|PMA1_SCHPO,0,P28876,0.0,0.92,2821.0,0.0,0.4114644107351225
231,VFG000499,1,VFG018477,1.0,0.824,451.0,3.641e-128,0.06578179696616103
232,sp|P53203|PEX31_YEAST,0,P38292,0.0,0.491,294.0,1.42e-79,0.04288214702450408
233,VFG052342,1,VFG043876,1.0,0.599,562.0,1.616e-160,0.08197199533255542
234,VFG005949,1,VFG018672,1.0,0.807,1257.0,0.0,0.18334305717619603
235,VFG048809,1,fig|595496.3.peg.917|BWG_0835|VBIEscCol60876_0917|,1.0,0.907,1136.0,0.0,0.16569428238039674
236,gi|16764228|ref|NP_459843.1|,1,D0CCT2,0.0,0.852,1312.0,0.0,0.19136522753792298
237,sp|P20099|BISC_ECOLI,0,Q57366,0.0,0.827,2057.0,0.0,0.3000291715285881
238,VFG005432,1,VFG000969,1.0,0.731,500.0,2.275e-142,0.07292882147024504
239,sp|Q883R9|THRH_PSESM,0,Q5QXU4,0.0,0.758,492.0,2.904e-140,0.07176196032672112
240,sp|Q99314|SAS5_YEAST,0,Q5A4W8,0.0,0.791,196.0,1.492e-50,0.028588098016336057
241,sp|P54511|LIPM_BACSU,0,VFG002158,1.0,0.677,501.0,9.509000000000001e-143,0.07307467911318553
242,VFG043033,1,VFG002684,1.0,0.696,281.0,3.571e-77,0.04098599766627771
243,VFG042175,1,O33317,0.0,0.597,251.0,4.558e-67,0.03661026837806301
244,fig|169963.11.peg.2087|lmo2039|VBILisMon69206_2087|,1,L0T911,0.0,0.76,1371.0,0.0,0.1999708284714119
245,sp|Q9KNM4|KGUA_VIBCH,0,Q9HTM2,0.0,0.96,722.0,5.484999999999999e-218,0.10530921820303384
246,sp|P27711|FIB_SPICI,0,Q47UY5,0.0,0.79,639.0,1.377e-183,0.09320303383897316
247,VFG005490,1,VFG019086,1.0,0.702,3740.0,0.0,0.5455075845974329
248,sp|P36632|RAD26_SCHPO,0,Q9P7H8,0.0,0.495,323.0,3.1759999999999995e-88,0.047112018669778294
249,VFG007195,1,VFG041576,1.0,0.681,393.0,9.114e-110,0.057322053675612605
250,VFG013744,1,VFG044356,1.0,0.826,993.0,5.276e-296,0.14483663943990666
251,VFG004621,1,VFG004623,1.0,0.746,2241.0,0.0,0.32686697782963825
252,VFG016127,1,VFG000167,1.0,0.903,867.0,1.1010000000000001e-256,0.1264585764294049
253,VFG014323,1,VFG015670,1.0,0.87,1263.0,0.0,0.18421820303383898
254,VFG038804,1,VFG007352,1.0,0.876,354.0,7.277e-100,0.05163360560093349
255,sp|P40075|SCS2_YEAST,0,O60119,0.0,0.895,395.0,9.551e-111,0.05761376896149358
256,VFG041290,1,VFG041309,1.0,0.641,874.0,2.22e-254,0.12747957992998832
257,sp|Q03180|PIR3_YEAST,0,P32478,0.0,0.636,388.0,2.754e-108,0.056592765460910154
258,sp|Q00002|PDI_ALTAL,0,P55059,0.0,0.869,980.0,3.3449999999999996e-287,0.14294049008168028
259,VFG002152,1,VFG017025,1.0,0.852,531.0,1.1e-153,0.07745040840140023
260,sp|P33749|MSN4_YEAST,0,Q12145,0.0,0.888,210.0,4.662e-54,0.030630105017502917
261,sp|Q46871|YQJH_ECOLI,0,VFG007224,1.0,0.789,633.0,2.021e-183,0.09232788798133022
262,sp|A0QSD7|RS3_MYCS2,0,Q9HWE1,0.0,0.912,691.0,4.2520000000000004e-201,0.10078763127187865
263,sp|P40570|VLD1_YEAST,0,CAA65905.1,1.0,0.478,111.0,7.338e-25,0.0161901983663944
264,sp|O59675|RS9B_SCHPO,0,Q8SRW6,0.0,0.81,401.0,4.7979999999999997e-113,0.058488914819136525
265,sp|P0DSE4|ARGL_ECOLI,0,,0.0,,0.0,,0.0
266,VFG001301,1,VFG014129,1.0,0.932,1207.0,0.0,0.17605017502917153
267,sp|P43571|BST1_YEAST,0,VFG024703,1.0,0.604,405.0,1.624e-112,0.059072345390898486
268,sp|P32830|TIM12_YEAST,0,P87108,0.0,0.802,182.0,4.662e-47,0.026546091015169197
