,id,label
7599,sp|O56861|ENV_FFV,0
2745,VFG002289,1
10817,VFG006944,1
12630,sp|P43557|FMP32_YEAST,0
467,VFG038751,1
6853,VFG024746,1
9648,sp|P38969|PNT1_YEAST,0
12518,sp|Q5SHN8|RL3_THET8,0
210,VFG050883,1
8912,VFG016086,1
2996,sp|P09061|ODBB_PSEPU,0
12624,sp|P9WIL9|PAFC_MYCTU,0
6152,sp|Q55804|CRHR_SYNY3,0
5441,VFG045488,1
8806,sp|Q85429|GLYC_RSVT,0
1812,VFG041146,1
8298,sp|Q08003|RFU1_YEAST,0
7756,VFG040918,1
6340,VFG010343,1
9160,VFG044097,1
11292,sp|P60668|NANE_SALTI,0
10593,VFG006004,1
2998,VFG039121,1
5015,VFG049061,1
3025,VFG039251,1
5623,sp|P26525|NDHI_SYNY3,0
1809,sp|P02986|IMMC_ECOLX,0
4519,VFG013384,1
2299,sp|P46828|CCPA_PRIMG,0
170,sp|Q6N253|RL36_RHOPA,0
8449,VFG014742,1
9813,VFG020322,1
5239,sp|G0S8F1|NOG1_CHATD,0
2170,sp|P0CX55|RS18A_YEAST,0
7341,VFG052246,1
12725,gi|147674563|ref|YP_001216456.1|,1
11253,VFG043156,1
7633,VFG036483,1
9051,sp|A0A0H3C8X7|CERR_CAUVN,0
13843,gi|229558446|gb|ACQ76875.1|,1
2177,sp|Q8NQU4|ARGV_CORGL,0
11602,sp|P12293|DHM1_PARDE,0
1550,sp|Q9UTE3|SEB1_SCHPO,0
1068,VFG002256,1
5025,sp|P0ABE2|BOLA_ECOLI,0
12736,sp|Q2T083|DCD_BURTA,0
4842,VFG048330,1
3979,VFG042551,1
11248,VFG043151,1
13759,sp|A0A4P8GEB4|EUPD_PHOSX,0
3641,VFG034648,1
8613,sp|P47187|COS5_YEAST,0
13862,sp|P0AE34|ARTQ_ECOLI,0
10558,sp|Q05156|GUN1_STRRE,0
3728,sp|P0AFA2|NARX_ECOLI,0
11988,sp|P13663|DHAS_YEAST,0
5010,VFG049046,1
706,sp|O74889|SAC31_SCHPO,0
8846,sp|P9WLZ5|Y1366_MYCTU,0
9375,sp|P38865|CTR2_YEAST,0
735,sp|Q07838|AMDA_MYCSM,0
11627,sp|Q2UHL4|PGLR1_ASPOR,0
9695,sp|P76402|YEGP_ECOLI,0
10963,VFG007210,1
4597,VFG042658,1
7721,VFG042243,1
8915,VFG016092,1
5511,sp|P07234|CAPSD_BPGA,0
5976,sp|Q8DLJ8|PSB28_THEVB,0
6916,sp|P47044|YJF5_YEAST,0
9118,VFG042744,1
1642,sp|Q5A900|RS2_CANAL,0
7145,sp|E3FKM2|EEVS_STIAD,0
11427,VFG040987,1
8446,VFG014733,1
2473,VFG051316,1
4220,VFG046725,1
4478,sp|P27296|DING_ECOLI,0
1547,sp|P9WKW5|Y3835_MYCTU,0
7790,VFG041642,1
62,VFG037881,1
760,VFG016364,1
14296,sp|P77174|YBDM_ECOLI,0
10695,sp|Q0S7P8|ECH20_RHOJR,0
9865,VFG041159,1
13775,gi|267995764|gb|ACY90649.1|,1
5889,sp|P0A1V8|BLO2_SALTM,0
8377,VFG014483,1
927,VFG043945,1
13879,gi|9629293|ref|NP_044493.1|,1
2851,VFG043775,1
5025,VFG049116,1
1175,sp|A7XUK7|AGGL_SCLSC,0
8884,VFG016012,1
11438,VFG042937,1
10976,VFG007238,1
12622,sp|Q9KR65|SIAQ_VIBCH,0
12168,sp|P81449|ATPJ_YEAST,0
7908,VFG000116,1
4046,sp|Q50310|RL29_MYCPN,0
12937,gi|28373190|ref|NP_783761.1|,1
6153,sp|Q2EES9|TORI_ECOLI,0
7089,sp|Q52EB3|ATG1_PYRO7,0
13636,gi|68484757|ref|XP_713690.1|,1
8082,VFG013781,1
6001,VFG008618,1
3907,sp|P19887|T2BA_ANEAE,0
2524,VFG051396,1
2135,sp|Q47706|UIDC_ECOLI,0
10317,sp|P60337|BETA_STAAN,0
7273,sp|Q5B0C9|APTB_EMENI,0
14403,fig|83332.12.peg.569|Rv0513|VBIMycTub87468_0569|,1
11747,VFG023607,1
13070,gi|15900079|ref|NP_344683.1|,1
7566,VFG006243,1
6883,VFG026961,1
12364,sp|P0C188|PNTB_RHORU,0
8803,sp|A0R4Q6|CP142_MYCS2,0
6610,VFG022648,1
9150,VFG044087,1
14376,sp|P53171|GEP7_YEAST,0
3425,sp|P42223|SBE2_YEAST,0
1213,VFG052315,1
12509,gi|17988480|ref|NP_541113.1|,1
11711,sp|Q9ALN6|SPNO_SACSN,0
10872,sp|P00205|FER_CHLTI,0
10153,VFG004752,1
9247,VFG051487,1
7977,VFG000194,1
12010,sp|A0A0C1BV72|OPAC_ASPUT,0
2833,sp|P66928|THIO_HELPY,0
11292,VFG044181,1
10970,sp|P0ADP9|YIHD_ECOLI,0
12512,sp|Q6A8U1|PIPS_CUTAK,0
9343,sp|P63264|CBPM_ECOLI,0
11335,sp|P0ACG8|HSLR_ECOLI,0
12046,sp|P39301|ULAA_ECOLI,0
9181,VFG044226,1
12196,gi|56708661|ref|YP_170557.1|,1
3218,sp|P64512|MGRB_ECOLI,0
13593,sp|Q5UQG0|YR486_MIMIV,0
14156,sp|O30808|MAO2_RHIME,0
8204,VFG014089,1
9555,VFG040712,1
1904,sp|C6BAU4|CAH_RHILS,0
14016,gi|799327664|ref|XP_012049342.1|,1
12367,sp|P54000|SUB1_YEAST,0
11264,sp|A0R6Q0|Y6630_MYCS2,0
2212,sp|Q9WZX7|TSAB_THEMA,0
11587,VFG002689,1
14158,fig|169963.11.peg.2099|lmo2051|VBILisMon69206_2099|,1
2251,sp|O14140|SEM1_SCHPO,0
7496,VFG016658,1
10084,VFG049876,1
7159,sp|P45618|PTGA_MYCCT,0
11612,VFG003510,1
12204,sp|Q0VZ68|TAM_CHOCO,0
13101,sp|O69668|EGTE_MYCTU,0
1829,sp|Q2FXG9|MNMM_STAA8,0
704,sp|C1P610|YPDK_ECOLI,0
1088,sp|A3KIM2|LCHMO_STRA7,0
6096,sp|P81360|UN41_CLOPA,0
5483,sp|P18549|CEFD_STRCL,0
2595,sp|A0QND6|DPO3B_MYCS2,0
5069,sp|Q831P9|COAD_ENTFA,0
10363,VFG005201,1
3298,VFG041401,1
2506,sp|P56193|LAC1_THACU,0
4664,sp|Q12676|FOLD_YEAST,0
52,sp|Q5BFM4|Y0656_EMENI,0
5525,VFG045572,1
10290,VFG000962,1
6574,VFG022293,1
4075,VFG043103,1
5378,sp|D4AXL1|BLML_ARTBC,0
5853,VFG007787,1
3084,sp|P42619|YQJF_ECOLI,0
7934,sp|O06581|PRPR_MYCTU,0
2199,sp|Q8K7S6|RNJ2_STRP3,0
1467,VFG002219,1
7213,VFG031144,1
8677,VFG015391,1
10376,VFG005242,1
45,sp|P9WPL7|CP141_MYCTU,0
5464,sp|P0C0Y0|LHA2_CERSP,0
12850,gi|161353603|ref|NP_460407.2|,1
12359,sp|P21310|HUTH_PSEPU,0
14240,sp|O88038|LANSB_STRCO,0
10985,VFG007253,1
10509,VFG005838,1
6188,VFG009977,1
4365,sp|P9WLD5|Y2302_MYCTU,0
3521,sp|Q8X5S3|NRFG_ECO57,0
5410,VFG045309,1
4005,VFG042653,1
10314,VFG001343,1
12128,sp|P0CU74|CLAB_PASFU,0
162,sp|P07117|PUTP_ECOLI,0
3555,sp|P9WGC7|SUCD_MYCTU,0
9011,VFG019822,1
7795,VFG041648,1
5837,sp|Q9Y7D5|LOVF_ASPTE,0
10122,VFG004585,1
288,sp|A2RI77|DPPD_LACLM,0
14079,sp|P09836|UHPC_ECOLI,0
4608,VFG000277,1
13855,sp|Q7A695|PURK_STAAN,0
7771,VFG041623,1
13639,gi|68468825|ref|XP_721471.1|,1
12467,sp|P77434|ALAC_ECOLI,0
4245,VFG046966,1
7486,VFG016647,1
2597,VFG041891,1
12751,gi|147672240|ref|YP_001215304.1|,1
8251,sp|P0A6N4|EFP_ECOLI,0
7627,sp|C0HK66|ATP19_PICAN,0
8891,sp|P11904|PARM_ECOLX,0
5037,sp|P76502|SIXA_ECOLI,0
7217,sp|P19406|PPB4_BACSU,0
4381,sp|A0R199|TIG_MYCS2,0
13505,sp|P9WJL9|MURB_MYCTU,0
7547,VFG006126,1
10622,VFG006080,1
2651,VFG041522,1
6570,VFG022286,1
3963,sp|Q2UEL0|ASTI_ASPOR,0
5055,VFG049240,1
8209,VFG014101,1
1692,sp|P9WPD1|CLPB_MYCTU,0
1243,sp|P9WK83|LIPB_MYCTU,0
7537,sp|Q12416|WHI5_YEAST,0
2305,VFG017036,1
10146,sp|P41465|LEF9_NPVAC,0
13216,gi|15900900|ref|NP_345504.1|,1
6559,VFG022258,1
12326,gi|23499808|ref|NP_699248.1|,1
5992,VFG008416,1
13782,gi|267993210|gb|ACY88095.1|,1
874,sp|Q06163|TERT_YEAST,0
12668,sp|P50082|AMA1_YEAST,0
14194,fig|199310.4.peg.3359|c3566|VBIEscCol75197_3359|,1
10135,sp|P68398|TADA_ECOLI,0
12255,gi|22125688|ref|NP_669111.1|,1
2921,VFG013718,1
9388,sp|P26221|GUN4_THEFU,0
9856,sp|P38784|VMA22_YEAST,0
8888,VFG016019,1
4646,sp|Q6TS43|CAPSD_CPVBM,0
6605,VFG022615,1
12963,sp|P25503|HUTU_BACSU,0
2531,sp|G2Q9T3|LP9H_THET4,0
13898,gi|6863044|dbj|BAA90489.1|,1
4568,VFG013579,1
3823,sp|Q99X11|AZOR_STAAN,0
526,VFG038880,1
11068,VFG007442,1
3516,VFG000920,1
6319,VFG010310,1
3423,VFG041497,1
7929,VFG000139,1
14136,sp|P99127|FMT_STAAN,0
5418,VFG045318,1
1067,sp|A4IYN5|RPIA_FRATW,0
2776,VFG012139,1
6613,sp|D4AZ24|ENG1_ARTBC,0
13675,sp|O25928|FABZ_HELPY,0
5037,VFG049175,1
13328,gi|126208686|ref|YP_001053911.1|,1
5708,sp|Q44178|RBS_PICP2,0
3996,sp|Q02ML9|CSY1_PSEAB,0
4837,VFG048266,1
3779,VFG035910,1
13714,sp|Q0CCX4|GEDL_ASPTN,0
2429,sp|Q2FW11|RL22_STAA8,0
5570,VFG045700,1
1485,sp|P94545|MUTS2_BACSU,0
13554,gi|15603159|ref|NP_246231.1|,1
4172,VFG044199,1
8459,VFG014781,1
8672,sp|P52891|NUP84_YEAST,0
11573,VFG002372,1
5786,sp|Q10287|FKS1_SCHPO,0
9836,VFG021421,1
7918,sp|Q09765|UBA3_SCHPO,0
7520,sp|P00654|RNU2_USTSP,0
6938,VFG028024,1
9039,sp|P0A3H7|DBH2_STRCO,0
12873,gi|16765413|ref|NP_461028.1|,1
5681,VFG032787,1
7220,VFG031206,1
5518,sp|Q9KUJ3|FTSB_VIBCH,0
3867,VFG042095,1
14017,sp|P39638|BACA_BACSU,0
8943,VFG016161,1
11557,VFG002347,1
5254,VFG041237,1
741,sp|O94441|YPP1_SCHPO,0
4701,VFG006576,1
7042,VFG029681,1
3007,VFG039162,1
685,VFG045361,1
4586,VFG013644,1
7006,sp|P0DN72|LPLA2_STRPG,0
2966,VFG021797,1
2282,VFG016945,1
5705,sp|Q06891|RAF_YEAST,0
744,VFG000681,1
278,sp|Q09927|ACA1_SCHPO,0
6577,VFG022308,1
11476,VFG000388,1
969,VFG044220,1
13410,gi|15600520|ref|NP_254014.1|,1
7013,sp|Q46927|TCDA_ECOLI,0
3655,sp|P0DSG2|YQGG_ECOLI,0
11479,VFG000392,1
10683,VFG042974,1
8406,sp|P53125|ITC1_YEAST,0
9340,VFG051975,1
10815,sp|Q5ZU17|LYPGN_LEGPH,0
5184,sp|M5AW86|BCLTS_SHOCL,0
13594,sp|Q6DTN4|HYUC_RHIML,0
14152,sp|A2RNN5|RL30_LACLM,0
6680,VFG023039,1
8300,sp|P32914|SPT4_YEAST,0
3013,sp|P54602|YHCR_BACSU,0
6155,sp|O14417|MAD2_SCHPO,0
5230,VFG010800,1
9832,VFG021413,1
571,VFG044037,1
2244,VFG002138,1
3567,VFG012362,1
10659,VFG019069,1
3632,sp|Q09695|YA22_SCHPO,0
1214,VFG052319,1
4156,VFG041125,1
12847,gi|16764667|ref|NP_460282.1|,1
6302,VFG010260,1
6605,sp|Q97MK4|AEEP_CLOAB,0
2783,sp|O13792|SUB2_SCHPO,0
1570,sp|A2RH77|ADDA_LACLM,0
1258,VFG000040,1
5921,VFG008055,1
9006,VFG019812,1
9905,VFG043039,1
4870,sp|Q47208|FDRA_ECOLI,0
2071,VFG011857,1
10972,VFG007231,1
2300,sp|Q9UR08|ARIS_ASPTE,0
5189,VFG010499,1
2128,sp|Q6N4R8|RL7_RHOPA,0
1913,VFG001897,1
3679,VFG035011,1
3937,VFG042492,1
8793,VFG015880,1
4097,VFG043682,1
2870,VFG050218,1
12659,gi|15800834|ref|NP_286850.1|,1
13978,sp|P53909|ADE_YEAST,0
6735,sp|Q93AL8|FLDC_CLOSG,0
46,VFG037705,1
7921,VFG000130,1
11260,VFG043163,1
8257,sp|Q9Y898|KKCCC_EMEND,0
13075,gi|15900095|ref|NP_344699.1|,1
8192,sp|Q7CS13|DEACT_AGRFC,0
12207,gi|56708745|ref|YP_170641.1|,1
1461,VFG002211,1
12149,sp|Q8SQP9|PSA7_ENCCU,0
4162,VFG042851,1
14219,sp|D4AVJ0|CHI2_ARTBC,0
13586,gi|70998032|ref|XP_753748.1|,1
4032,VFG042768,1
8483,VFG014867,1
6648,VFG022823,1
14014,gi|799335528|ref|XP_012051006.1|,1
8315,VFG014312,1
8372,VFG014474,1
10088,sp|Q04991|FMP42_YEAST,0
10825,VFG006958,1
223,sp|Q3L1D1|PDH1_AGABI,0
11159,sp|D7PHZ4|VRTC_PENAE,0
8585,sp|Q8NMT9|LPPS_CORGL,0
10972,sp|Q03784|TRS23_YEAST,0
13535,sp|Q6D5T8|APLK_PECAS,0
6657,sp|P16006|DCTD_BPT4,0
873,VFG043872,1
2927,VFG013726,1
2007,sp|B1VB72|PDUM_CITFR,0
5065,sp|Q8NK13|SKP1_NEUCR,0
7858,VFG042610,1
4810,sp|A0A0H2ZI72|DPPA5_PSEAB,0
13187,gi|15901487|ref|NP_346091.1|,1
6351,VFG010367,1
5175,VFG002118,1
11298,VFG044187,1
9743,sp|O74473|CDC11_SCHPO,0
4823,VFG040969,1
13132,gi|15900551|ref|NP_345155.1|,1
2008,VFG011675,1
13695,sp|Q838J7|MENC_ENTFA,0
8547,VFG015080,1
10660,sp|Q8CWR6|AMGDS_STRR6,0
1342,VFG011183,1
9188,VFG044233,1
141,sp|Q48MT7|RNLS_PSE14,0
13533,gi|72386807|ref|XP_843828.1|,1
4178,VFG046274,1
3356,VFG043510,1
3777,sp|Q08961|RKM1_YEAST,0
6984,sp|Q8SV00|Y792_ENCCU,0
11356,VFG041737,1
11618,VFG003516,1
5685,VFG032843,1
1625,VFG025303,1
13041,sp|P0ACL0|GLPR_ECOLI,0
8172,VFG013980,1
4367,sp|P0AD27|YEJM_ECOLI,0
5800,sp|M7U9B9|ATG7_BOTF1,0
9304,sp|Q09697|RGA8_SCHPO,0
14253,sp|Q72JS5|QUEA_THET2,0
11598,VFG002901,1
10890,VFG007079,1
4886,VFG048800,1
13662,sp|Q9F464|HYUC_PAEAU,0
13322,gi|123441919|ref|YP_001005902.1|,1
4616,VFG000287,1
14190,sp|P25349|YCP4_YEAST,0
2832,VFG043307,1
12448,gi|17986579|ref|NP_539213.1|,1
3659,sp|P61489|AK_THETH,0
3796,VFG035964,1
4865,sp|Q9KRA3|FABV1_VIBCH,0
6091,VFG009489,1
11396,VFG041949,1
2498,VFG051362,1
3143,VFG041426,1
4085,VFG043116,1
10962,VFG007208,1
5598,VFG045740,1
1795,sp|P82974|AMPD_CITFR,0
11214,VFG042878,1
12313,sp|P9WML7|HIS8_MYCTU,0
12675,gi|15801455|ref|NP_287472.1|,1
13633,gi|68472127|ref|XP_719859.1|,1
4330,VFG048020,1
6505,sp|P33304|AFR1_YEAST,0
8148,VFG013931,1
10722,VFG043792,1
3131,VFG039708,1
5261,sp|Q0C8A0|TRT7_ASPTN,0
10023,VFG041699,1
1900,sp|C0LTL9|MHAA_STRSJ,0
8623,VFG015286,1
13638,gi|68476703|ref|XP_717644.1|,1
4064,sp|O05619|VDH_PSEUH,0
6776,VFG023450,1
2976,VFG052267,1
6988,VFG029436,1
10099,sp|O84385|ARTJ_CHLTR,0
3259,sp|Q5NNZ8|ALPH_ZYMMO,0
7997,VFG000216,1
13525,sp|Q9CG32|XERDL_LACLA,0
4174,VFG046244,1
8536,VFG015045,1
1434,VFG042069,1
5385,sp|P30340|SMTB_SYNE7,0
10470,VFG005576,1
14118,NP_828858.1,1
12361,gi|23500711|ref|NP_700151.1|,1
3515,sp|P39814|TOP1_BACSU,0
6088,VFG009478,1
4759,sp|P75455|Y330_MYCPN,0
462,VFG038745,1
9207,VFG044387,1
7296,VFG043550,1
10300,VFG000980,1
7762,sp|Q02760|CY1_CERSP,0
3962,sp|D7PI12|GSFR1_PENAE,0
4881,sp|P9WET4|PREU5_PREIS,0
2425,sp|P32140|SQUS_ECOLI,0
9348,VFG051984,1
2012,sp|G2QJR6|GCE2_THET4,0
7318,sp|P34227|PRX1_YEAST,0
2827,sp|P53032|SUT1_YEAST,0
12297,gi|218562958|ref|YP_002344737.1|,1
14280,sp|Q8SQM5|IF4A_ENCCU,0
12822,sp|P40029|MSRA_YEAST,0
3211,sp|P9WPB7|CMAS1_MYCTU,0
3149,VFG046163,1
